x,Curve1
0.5575,0.00147
0.7607,-0.00169
0.8564,-0.00166
1.0358,-0.0016
1.1215,0.07907
1.1464,0.11779
1.1837,0.17748
1.1966,0.21942
1.2179,0.10813
1.3046,0.23397
1.3643,0.22592
1.4846,0.25661
1.6153,0.22117
1.8797,0.27125
1.9615,0.19225
1.9859,0.21
2.2131,0.20846
2.2842,0.17945
2.4266,0.13111
2.6661,0.14409
2.8331,0.12478
2.9654,0.15386
3.0246,0.12969
3.0601,0.11034
3.2274,0.10556
3.3713,0.12173
3.4679,0.15725
3.6241,0.18633
3.6952,0.15732
3.8032,0.17187
3.8033,0.17832
3.9213,0.10901
3.9218,0.13159
3.9226,0.16385
4.0533,0.12679
4.2684,0.11718
4.2684,0.1188
4.5201,0.14146
4.5206,0.1592
4.6391,0.11408
4.6406,0.17698
4.7103,0.09152
4.8298,0.08511
4.9024,0.12061
4.997,0.07387
5.1166,0.07391
5.1522,0.06102
5.3914,0.06109
5.6427,0.06601
5.7867,0.08219
5.9302,0.08385
5.9663,0.09192
