x,Curve1
-0.5455,-0.01812
-0.4306,-0.01448
-0.1722,0.00299
0.1148,0.02053
0.2871,0.01078
0.4019,0.03131
0.4306,-0.00579
0.689,0.04547
0.9474,0.05281
1.177,0.02968
1.3206,0.05365
1.7225,0.07145
1.7799,0.04793
1.8373,0.03117
2.0096,0.01128
2.1531,0.0285
2.3828,0.04591
2.5837,0.06325
2.6986,0.03986
2.8708,0.01322
3.1292,0.02394
3.2727,0.00399
3.3589,0.02108
3.5024,0.01802
3.7033,0.01848
3.933,0.03589
4.1053,0.016
4.2201,0.03991
4.3349,0.01314
4.3923,0.00314
4.622,0.00365
4.6794,-0.00635
4.9378,0.02126
5.1675,0.0488
5.3971,0.04932
5.6555,0.02963
5.799,-0.00045
5.9713,0.02358
