# Ca [nM], po
1.499773415130887031e+02,2.860002860002859939e-05
8.498173506558193822e+02,3.328143328143327861e-02
1.999455467004261436e+03,2.017079350412683547e-01
4.998953672931539586e+03,2.587620587620587664e-01
9.998252199850574470e+03,2.761990095323428873e-01
1.999681807103326719e+04,2.630315963649296762e-01
9.998541152421274455e+04,2.698153364820031208e-01
