# Ca [nM], mean open time, mean closed time
1.496694485804416956e+02,2.807894114208570394e-02,3.416204036716069536e-02
8.495528913996346319e+02,2.804944183029985452e-02,2.787919444059950083e-02
1.999381774564171110e+03,2.807560558508822787e-02,2.890280207437044210e-02
4.998949142132934867e+03,2.814044742031892449e-02,2.774239786697281149e-02
9.998251480181526858e+03,2.814469058029578016e-02,2.884414883977805613e-02
1.999681791930931286e+04,2.818354240379259551e-02,2.931068213910999545e-02
9.998541151207039366e+04,2.814948166556015263e-02,2.787034893771627234e-02
