# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,4.999329618238061244e+02,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.839166323305934156e+02,9.432968927592232831e+02,2.357965475386862408e+01,3.177164748525960647e+01,1.328431253739077444e+00
2.000000000000000000e+01,3.433994790915515409e+02,9.225955057217893227e+02,4.383823137338955434e+01,3.265726832108565247e+01,8.856208358260516667e-01
3.000000000000000000e+01,3.179378800615525620e+02,9.105289218336592967e+02,5.834027256004115003e+01,2.955759539569447369e+01,1.549836462695590500e+00
4.000000000000000000e+01,2.935833070763361548e+02,8.985730405500075904e+02,7.018545123921460061e+01,2.944689279121621794e+01,1.771241671652103333e+00
5.000000000000000000e+01,2.820702362105974430e+02,8.931486129305731083e+02,8.125571168704023250e+01,2.346895214939037189e+01,2.103349485086872583e+00
6.000000000000000000e+01,2.679003028373805932e+02,8.859529436394864206e+02,8.745505753782259717e+01,2.457597819417293294e+01,1.992646880608616167e+00
7.000000000000000000e+01,2.590440944791201332e+02,8.811927316469215157e+02,9.542564506025706805e+01,2.169771047773826567e+01,1.660539067173846917e+00
8.000000000000000000e+01,2.446527558969467577e+02,8.752147910050956625e+02,9.907883100803952914e+01,2.280473652252083383e+01,2.878267716434667722e+00
9.000000000000000000e+01,2.419958933894686197e+02,8.743291701692694460e+02,1.028427195603002531e+02,1.948365838817313644e+01,3.321078134347693833e+00
1.000000000000000000e+02,2.388962204640774587e+02,8.713401998483565194e+02,1.063852029036044513e+02,2.036927922399918955e+01,1.881944276130359972e+00
1.100000000000000000e+02,2.326968746132950514e+02,8.689047425498349639e+02,1.057209872767349168e+02,2.280473652252083383e+01,2.546159902999898694e+00
1.200000000000000000e+02,2.318112537774690338e+02,8.685726347364002322e+02,1.077136341573435345e+02,2.103349485086872761e+01,2.656862507478154889e+00
1.300000000000000000e+02,2.326968746132950514e+02,8.689047425498349639e+02,1.062745002991262027e+02,2.225122350012954797e+01,2.546159902999898694e+00
1.400000000000000000e+02,2.309256329416429878e+02,8.686833373408784382e+02,1.074922289483870230e+02,2.059068443295570106e+01,3.210375529869437194e+00
1.500000000000000000e+02,2.318112537774690338e+02,8.686833373408784382e+02,1.099276862469086637e+02,1.859803755234708333e+01,2.767565111956411528e+00
1.600000000000000000e+02,2.256119079266866834e+02,8.650301513930959345e+02,1.120310357319955301e+02,2.070138703743396036e+01,2.214052089565129222e+00
1.700000000000000000e+02,2.247262870908606089e+02,8.645873409751829968e+02,1.126952513588650646e+02,2.047998182847744530e+01,2.214052089565129222e+00
1.800000000000000000e+02,2.227336402102519912e+02,8.637017201393568939e+02,1.144664930305171850e+02,1.948365838817313644e+01,2.324754694043385417e+00
1.900000000000000000e+02,2.123275953892959080e+02,8.582772925199224119e+02,1.195588128365169780e+02,2.003717141056441875e+01,2.103349485086872583e+00
2.000000000000000000e+02,2.154272683146870691e+02,8.603806420050091219e+02,1.181196789782996461e+02,1.881944276130359839e+01,2.656862507478154889e+00
2.100000000000000000e+02,2.169771047773826638e+02,8.608234524229221734e+02,1.186731920006909178e+02,1.815522713443405678e+01,2.324754694043385417e+00
2.200000000000000000e+02,2.183055360311217612e+02,8.627053966990525851e+02,1.161270320976910284e+02,1.760171411204277803e+01,3.542483343304206667e+00
2.300000000000000000e+02,2.140988370609479716e+02,8.593843185647048131e+02,1.171233555379953373e+02,2.114419745534698336e+01,2.324754694043385417e+00
2.400000000000000000e+02,2.081208964191221185e+02,8.579451847064875665e+02,1.187838946051691806e+02,1.937295578369488069e+01,3.874591156738975695e+00
2.500000000000000000e+02,2.138774318519914743e+02,8.598271289826178645e+02,1.193374076275604523e+02,1.793382192547754528e+01,2.878267716434667722e+00
2.600000000000000000e+02,2.127704058072089026e+02,8.582772925199224119e+02,1.208872440902560470e+02,1.893014536578185414e+01,1.881944276130359972e+00
2.700000000000000000e+02,2.200767777027738248e+02,8.619304784677048019e+02,1.194481102320387294e+02,1.671609327621672492e+01,1.881944276130359972e+00
2.800000000000000000e+02,2.174199151952956868e+02,8.602699394005310296e+02,1.196695154409952266e+02,1.848733494786882758e+01,1.549836462695590500e+00
2.900000000000000000e+02,2.171985099863391611e+02,8.610448576318786991e+02,1.187838946051691806e+02,1.771241671652103378e+01,2.435457298521642056e+00
3.000000000000000000e+02,2.174199151952956868e+02,8.612662628408353385e+02,1.197802180454734895e+02,1.638398546278195766e+01,2.546159902999898694e+00
3.100000000000000000e+02,2.152058631057305433e+02,8.603806420050091219e+02,1.188945972096474435e+02,1.793382192547754528e+01,2.767565111956411528e+00
3.200000000000000000e+02,2.096707328818177416e+02,8.570595638706614636e+02,1.217728649260821072e+02,1.893014536578185414e+01,2.214052089565129222e+00
3.300000000000000000e+02,2.114419745534698336e+02,8.581665899154440922e+02,1.221049727395168816e+02,1.726960629860800722e+01,2.435457298521642056e+00
3.400000000000000000e+02,2.094493276728612159e+02,8.568381586617049379e+02,1.233227013887776877e+02,1.771241671652103378e+01,2.103349485086872583e+00
3.500000000000000000e+02,2.076780860012091239e+02,8.560632404303571548e+02,1.240976196201254993e+02,1.760171411204277803e+01,2.214052089565129222e+00
3.600000000000000000e+02,2.072352755832961009e+02,8.566167534527485259e+02,1.224370805529516559e+02,1.793382192547754528e+01,2.988970320912924361e+00
3.700000000000000000e+02,2.116633797624263593e+02,8.581665899154440922e+02,1.211086492992125727e+02,1.837663234339057183e+01,2.324754694043385417e+00
3.800000000000000000e+02,2.145416474788610230e+02,8.592736159602267207e+02,1.217728649260821072e+02,1.693749848517323997e+01,1.992646880608616167e+00
3.900000000000000000e+02,2.160914839415565893e+02,8.593843185647048131e+02,1.215514597171255957e+02,1.771241671652103378e+01,1.328431253739077444e+00
4.000000000000000000e+02,2.156486735236435948e+02,8.596057237736614525e+02,1.206658388812995355e+02,1.793382192547754528e+01,1.771241671652103333e+00
4.100000000000000000e+02,2.163128891505131435e+02,8.614876680497917505e+02,1.182303815827778948e+02,1.693749848517323997e+01,3.321078134347693833e+00
4.200000000000000000e+02,2.138774318519914743e+02,8.599378315870961842e+02,1.180089763738213833e+02,1.904084797026011344e+01,2.988970320912924361e+00
4.300000000000000000e+02,2.149844578967740460e+02,8.606020472139657613e+02,1.178982737693431346e+02,1.837663234339057183e+01,3.099672925391181000e+00
4.400000000000000000e+02,2.176413204042522125e+02,8.614876680497917505e+02,1.181196789782996461e+02,1.771241671652103378e+01,2.656862507478154889e+00
4.500000000000000000e+02,2.123275953892959080e+02,8.588308055423135556e+02,1.188945972096474435e+02,1.959436099265139219e+01,2.656862507478154889e+00
