# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,4.992687461969366325e+01,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.885661417186801714e+01,9.944414960281777667e+02,2.546159902999898694e+00,2.988970320912924361e+00,0.000000000000000000e+00
2.000000000000000000e+01,3.398569957482472859e+01,9.920060387296560975e+02,4.538806783608514195e+00,3.431780738825950472e+00,0.000000000000000000e+00
3.000000000000000000e+01,2.911478497778145069e+01,9.895705814311344284e+02,6.088643246304104473e+00,4.317401574652001806e+00,0.000000000000000000e+00
4.000000000000000000e+01,3.022181102256401175e+01,9.902347970580040055e+02,5.977940641825848722e+00,3.653185947782463305e+00,1.107026044782564583e-01
5.000000000000000000e+01,3.044321623152052680e+01,9.902347970580040055e+02,7.527777104521439888e+00,2.214052089565129222e+00,0.000000000000000000e+00
6.000000000000000000e+01,2.756494851508585953e+01,9.887956631997867589e+02,8.413397940347490334e+00,2.767565111956411528e+00,0.000000000000000000e+00
7.000000000000000000e+01,2.557230163447724181e+01,9.880207449684388621e+02,8.745505753782259362e+00,2.988970320912924361e+00,2.214052089565129167e-01
8.000000000000000000e+01,2.535089642552072675e+01,9.876886371550041304e+02,9.852531798564825749e+00,2.435457298521642056e+00,0.000000000000000000e+00
9.000000000000000000e+01,2.446527558969468075e+01,9.872458267370910789e+02,1.051674742543436381e+01,2.214052089565129222e+00,0.000000000000000000e+00
1.000000000000000000e+02,2.535089642552072675e+01,9.876886371550041304e+02,1.007393700752133725e+01,2.214052089565129222e+00,0.000000000000000000e+00
1.100000000000000000e+02,2.402246517178165064e+01,9.870244215281345532e+02,1.018463961199959478e+01,2.767565111956411528e+00,0.000000000000000000e+00
1.200000000000000000e+02,2.335824954491211258e+01,9.868030163191781412e+02,1.095955784334738858e+01,2.103349485086872583e+00,1.107026044782564583e-01
1.300000000000000000e+02,2.225122350012954797e+01,9.861388006923085641e+02,1.162377347021692842e+01,2.214052089565129222e+00,0.000000000000000000e+00
1.400000000000000000e+02,1.981576620160790370e+01,9.849210720430476158e+02,1.228798909708646647e+01,2.767565111956411528e+00,0.000000000000000000e+00
1.500000000000000000e+02,2.202981829117303292e+01,9.862495032967867701e+02,1.173447607469518594e+01,1.771241671652103333e+00,2.214052089565129167e-01
1.600000000000000000e+02,2.047998182847744530e+01,9.853638824609607809e+02,1.217728649260820895e+01,2.324754694043385417e+00,1.107026044782564583e-01
1.700000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.306290732843426206e+01,1.881944276130359972e+00,0.000000000000000000e+00
1.800000000000000000e+02,2.092279224639047186e+01,9.854745850654391006e+02,1.250939430604297975e+01,1.992646880608616167e+00,0.000000000000000000e+00
1.900000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.206658388812995497e+01,2.878267716434667722e+00,0.000000000000000000e+00
2.000000000000000000e+02,2.357965475386862408e+01,9.868030163191781412e+02,1.184517867917343992e+01,1.328431253739077444e+00,0.000000000000000000e+00
2.100000000000000000e+02,2.047998182847744530e+01,9.852531798564824612e+02,1.250939430604297975e+01,2.214052089565129222e+00,0.000000000000000000e+00
2.200000000000000000e+02,2.180841308221652497e+01,9.860280980878302444e+02,1.250939430604297975e+01,1.328431253739077444e+00,1.107026044782564583e-01
2.300000000000000000e+02,1.826592973891231608e+01,9.842568564161781524e+02,1.262009691052123550e+01,2.988970320912924361e+00,1.107026044782564583e-01
2.400000000000000000e+02,2.092279224639047186e+01,9.854745850654391006e+02,1.250939430604297975e+01,1.992646880608616167e+00,0.000000000000000000e+00
2.500000000000000000e+02,2.136560266430349486e+01,9.858066928788738323e+02,1.206658388812995497e+01,1.992646880608616167e+00,1.107026044782564583e-01
2.600000000000000000e+02,2.158700787326000992e+01,9.858066928788738323e+02,1.228798909708646647e+01,1.881944276130359972e+00,0.000000000000000000e+00
2.700000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.295220472395600630e+01,1.992646880608616167e+00,0.000000000000000000e+00
2.800000000000000000e+02,1.848733494786882758e+01,9.842568564161781524e+02,1.328431253739077533e+01,2.435457298521642056e+00,0.000000000000000000e+00
2.900000000000000000e+02,1.893014536578185414e+01,9.846996668340912038e+02,1.328431253739077533e+01,1.771241671652103333e+00,2.214052089565129167e-01
3.000000000000000000e+02,2.047998182847744530e+01,9.852531798564824612e+02,1.328431253739077533e+01,1.439133858217333861e+00,0.000000000000000000e+00
3.100000000000000000e+02,1.715890369412975147e+01,9.835926407893085752e+02,1.383782555978205586e+01,2.546159902999898694e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.760171411204277803e+01,9.838140459982652146e+02,1.394852816426031339e+01,2.214052089565129222e+00,0.000000000000000000e+00
3.300000000000000000e+02,2.070138703743396036e+01,9.853638824609607809e+02,1.284150211947774878e+01,1.771241671652103333e+00,0.000000000000000000e+00
3.400000000000000000e+02,1.848733494786882758e+01,9.842568564161781524e+02,1.350571774634728683e+01,2.214052089565129222e+00,0.000000000000000000e+00
3.500000000000000000e+02,2.070138703743396036e+01,9.854745850654391006e+02,1.284150211947774878e+01,1.549836462695590500e+00,1.107026044782564583e-01
3.600000000000000000e+02,1.937295578369488069e+01,9.846996668340912038e+02,1.350571774634728683e+01,1.771241671652103333e+00,0.000000000000000000e+00
3.700000000000000000e+02,2.136560266430349486e+01,9.856959902743955126e+02,1.273079951499949303e+01,1.549836462695590500e+00,0.000000000000000000e+00
3.800000000000000000e+02,2.114419745534698336e+01,9.855852876699171929e+02,1.295220472395600630e+01,1.439133858217333861e+00,0.000000000000000000e+00
3.900000000000000000e+02,2.070138703743396036e+01,9.853638824609607809e+02,1.284150211947774878e+01,1.771241671652103333e+00,0.000000000000000000e+00
4.000000000000000000e+02,2.092279224639047186e+01,9.854745850654391006e+02,1.284150211947774878e+01,1.660539067173846917e+00,0.000000000000000000e+00
4.100000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.306290732843426206e+01,1.881944276130359972e+00,0.000000000000000000e+00
4.200000000000000000e+02,2.114419745534698336e+01,9.855852876699171929e+02,1.250939430604297975e+01,1.881944276130359972e+00,0.000000000000000000e+00
4.300000000000000000e+02,1.893014536578185414e+01,9.844782616251347918e+02,1.361642035082554436e+01,1.881944276130359972e+00,0.000000000000000000e+00
4.400000000000000000e+02,1.848733494786882758e+01,9.842568564161781524e+02,1.372712295530380189e+01,1.992646880608616167e+00,0.000000000000000000e+00
4.500000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.317360993291251781e+01,1.992646880608616167e+00,0.000000000000000000e+00
4.600000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.306290732843426206e+01,2.103349485086872583e+00,0.000000000000000000e+00
4.700000000000000000e+02,2.114419745534698336e+01,9.855852876699171929e+02,1.262009691052123550e+01,1.771241671652103333e+00,0.000000000000000000e+00
4.800000000000000000e+02,2.114419745534698336e+01,9.855852876699171929e+02,1.273079951499949303e+01,1.660539067173846917e+00,0.000000000000000000e+00
4.900000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.284150211947774878e+01,2.324754694043385417e+00,0.000000000000000000e+00
5.000000000000000000e+02,2.025857661952093025e+01,9.851424772520042552e+02,1.295220472395600630e+01,1.881944276130359972e+00,0.000000000000000000e+00
5.100000000000000000e+02,1.870874015682534264e+01,9.843675590206564721e+02,1.295220472395600630e+01,2.656862507478154889e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.893014536578185414e+01,9.844782616251347918e+02,1.306290732843426206e+01,2.435457298521642056e+00,0.000000000000000000e+00
5.300000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.317360993291251781e+01,1.992646880608616167e+00,0.000000000000000000e+00
5.400000000000000000e+02,2.047998182847744530e+01,9.852531798564824612e+02,1.317360993291251781e+01,1.549836462695590500e+00,0.000000000000000000e+00
5.500000000000000000e+02,1.981576620160790370e+01,9.850317746475259355e+02,1.317360993291251781e+01,1.660539067173846917e+00,1.107026044782564583e-01
5.600000000000000000e+02,2.047998182847744530e+01,9.853638824609607809e+02,1.228798909708646647e+01,2.214052089565129222e+00,1.107026044782564583e-01
5.700000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.228798909708646647e+01,2.878267716434667722e+00,0.000000000000000000e+00
5.800000000000000000e+02,2.047998182847744530e+01,9.852531798564824612e+02,1.284150211947774878e+01,1.881944276130359972e+00,0.000000000000000000e+00
5.900000000000000000e+02,1.915155057473836564e+01,9.846996668340912038e+02,1.361642035082554436e+01,1.549836462695590500e+00,1.107026044782564583e-01
6.000000000000000000e+02,2.158700787326000992e+01,9.858066928788738323e+02,1.295220472395600630e+01,1.217728649260821028e+00,0.000000000000000000e+00
6.100000000000000000e+02,1.870874015682534264e+01,9.844782616251347918e+02,1.273079951499949303e+01,2.656862507478154889e+00,1.107026044782564583e-01
6.200000000000000000e+02,2.025857661952093025e+01,9.851424772520042552e+02,1.306290732843426206e+01,1.771241671652103333e+00,0.000000000000000000e+00
6.300000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.250939430604297975e+01,2.435457298521642056e+00,0.000000000000000000e+00
6.400000000000000000e+02,2.202981829117303292e+01,9.860280980878302444e+02,1.239869170156472400e+01,1.549836462695590500e+00,0.000000000000000000e+00
6.500000000000000000e+02,2.070138703743396036e+01,9.853638824609607809e+02,1.306290732843426206e+01,1.549836462695590500e+00,0.000000000000000000e+00
6.600000000000000000e+02,1.826592973891231608e+01,9.843675590206564721e+02,1.317360993291251781e+01,2.214052089565129222e+00,2.214052089565129167e-01
6.700000000000000000e+02,1.915155057473836564e+01,9.845889642296128841e+02,1.428063597769508242e+01,1.107026044782564611e+00,0.000000000000000000e+00
6.800000000000000000e+02,1.627328285830369836e+01,9.831498303713956375e+02,1.450204118665159569e+01,2.324754694043385417e+00,0.000000000000000000e+00
6.900000000000000000e+02,1.937295578369488069e+01,9.846996668340912038e+02,1.383782555978205586e+01,1.439133858217333861e+00,0.000000000000000000e+00
7.000000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.284150211947774878e+01,2.103349485086872583e+00,0.000000000000000000e+00
7.100000000000000000e+02,2.092279224639047186e+01,9.854745850654391006e+02,1.250939430604297975e+01,1.992646880608616167e+00,0.000000000000000000e+00
7.200000000000000000e+02,2.025857661952093025e+01,9.851424772520042552e+02,1.317360993291251781e+01,1.660539067173846917e+00,0.000000000000000000e+00
7.300000000000000000e+02,2.025857661952093025e+01,9.851424772520042552e+02,1.306290732843426206e+01,1.771241671652103333e+00,0.000000000000000000e+00
7.400000000000000000e+02,1.981576620160790370e+01,9.849210720430476158e+02,1.262009691052123550e+01,2.435457298521642056e+00,0.000000000000000000e+00
7.500000000000000000e+02,2.003717141056441875e+01,9.850317746475259355e+02,1.295220472395600630e+01,1.992646880608616167e+00,0.000000000000000000e+00
7.600000000000000000e+02,1.959436099265139219e+01,9.848103694385695235e+02,1.328431253739077533e+01,1.881944276130359972e+00,0.000000000000000000e+00
7.700000000000000000e+02,2.136560266430349486e+01,9.856959902743955126e+02,1.295220472395600630e+01,1.328431253739077444e+00,0.000000000000000000e+00
7.800000000000000000e+02,1.981576620160790370e+01,9.849210720430476158e+02,1.284150211947774878e+01,2.214052089565129222e+00,0.000000000000000000e+00
7.900000000000000000e+02,2.136560266430349486e+01,9.856959902743955126e+02,1.306290732843426206e+01,1.217728649260821028e+00,0.000000000000000000e+00
8.000000000000000000e+02,1.826592973891231608e+01,9.843675590206564721e+02,1.306290732843426206e+01,2.324754694043385417e+00,2.214052089565129167e-01
8.100000000000000000e+02,1.937295578369488069e+01,9.846996668340912038e+02,1.295220472395600630e+01,2.324754694043385417e+00,0.000000000000000000e+00
8.200000000000000000e+02,2.158700787326000992e+01,9.858066928788738323e+02,1.228798909708646647e+01,1.881944276130359972e+00,0.000000000000000000e+00
8.300000000000000000e+02,2.202981829117303292e+01,9.860280980878302444e+02,1.184517867917343992e+01,2.103349485086872583e+00,0.000000000000000000e+00
8.400000000000000000e+02,2.335824954491211258e+01,9.866923137146998215e+02,1.239869170156472400e+01,8.856208358260516667e-01,0.000000000000000000e+00
8.500000000000000000e+02,2.047998182847744530e+01,9.852531798564824612e+02,1.317360993291251781e+01,1.549836462695590500e+00,0.000000000000000000e+00
8.600000000000000000e+02,2.136560266430349486e+01,9.856959902743955126e+02,1.328431253739077533e+01,9.963234403043080833e-01,0.000000000000000000e+00
8.700000000000000000e+02,1.981576620160790370e+01,9.849210720430476158e+02,1.284150211947774878e+01,2.214052089565129222e+00,0.000000000000000000e+00
8.800000000000000000e+02,2.136560266430349486e+01,9.856959902743955126e+02,1.239869170156472400e+01,1.881944276130359972e+00,0.000000000000000000e+00
8.900000000000000000e+02,2.025857661952093025e+01,9.851424772520042552e+02,1.328431253739077533e+01,1.549836462695590500e+00,0.000000000000000000e+00
