# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,6.999947086369112185e+03,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.674172695137513074e+03,4.471278194876778116e+02,1.838770260383839741e+02,2.589333918746418703e+02,1.100383888513869124e+02
2.000000000000000000e+01,5.373947231792481944e+03,3.499309327557687084e+02,3.004468685539879971e+02,1.866445911503404034e+02,1.629542337919935164e+02
3.000000000000000000e+01,5.156748721806142385e+03,2.778635372404236819e+02,3.809276620096804891e+02,1.416993337321682702e+02,1.994860932698181273e+02
4.000000000000000000e+01,5.024791217268060791e+03,2.313684433595559824e+02,4.272013506815916344e+02,1.224370805529516559e+02,2.189697516579912815e+02
5.000000000000000000e+01,4.963683379596062878e+03,2.087851120459916672e+02,4.619619684877641816e+02,1.022892065379089672e+02,2.269403391804257524e+02
6.000000000000000000e+01,4.929365572207803780e+03,1.972720411802530123e+02,4.784566565550244377e+02,9.166175650799634411e+01,2.325861720088168454e+02
7.000000000000000000e+01,4.899918679416587111e+03,1.868659963592969007e+02,4.886412961670239952e+02,8.756576014230086002e+01,2.369035735834688410e+02
8.000000000000000000e+01,4.854530611580502409e+03,1.702606056875584102e+02,4.984938279655888209e+02,8.822997576917040874e+01,2.429922168297729286e+02
9.000000000000000000e+01,4.849659696983459071e+03,1.677144457845585350e+02,5.071286311148928121e+02,8.225203512734454137e+01,2.428815142252946941e+02
1.000000000000000000e+02,4.837482410490851180e+03,1.668288249487324890e+02,5.024791217268060564e+02,8.258414294077931572e+01,2.480845366357727357e+02
1.100000000000000000e+02,4.859844336595459026e+03,1.707034161054714616e+02,5.086784675775884352e+02,7.981657782882291485e+01,2.407781647402077851e+02
1.200000000000000000e+02,4.832832901102763572e+03,1.666074197397759633e+02,5.028112295402408449e+02,8.037009085121418650e+01,2.501878861208596163e+02
1.300000000000000000e+02,4.834825547983372417e+03,1.625114233740804650e+02,5.159848394731533290e+02,7.638479708999695106e+01,2.450955663148598092e+02
1.400000000000000000e+02,4.815341889595199973e+03,1.599652634710805899e+02,5.134386795701534538e+02,7.428144760491008469e+01,2.522912356059464685e+02
1.500000000000000000e+02,4.839696462580415755e+03,1.646147728591673740e+02,5.146564082194142884e+02,7.594198667208392806e+01,2.447634585014250206e+02
1.600000000000000000e+02,4.820434209401199041e+03,1.601866686800370871e+02,5.110032222716318415e+02,7.882025438851860599e+01,2.499664809119030622e+02
1.700000000000000000e+02,4.822869666699721165e+03,1.593010478442110411e+02,5.138814899880665052e+02,7.893095699299685464e+01,2.478631314268162100e+02
1.800000000000000000e+02,4.831947280266937923e+03,1.577512113815154464e+02,5.232912113687183364e+02,7.715971532134474842e+01,2.417744881805120940e+02
1.900000000000000000e+02,4.812685027087721210e+03,1.588582374262980181e+02,5.121102483164144132e+02,7.649549969447521391e+01,2.525126408149029942e+02
2.000000000000000000e+02,4.837482410490851180e+03,1.625114233740804650e+02,5.145457056149359687e+02,7.915236220195336614e+01,2.437671350611207117e+02
2.100000000000000000e+02,4.828847607341546791e+03,1.617365051427326819e+02,5.166490551000229061e+02,7.428144760491008469e+01,2.473096184044249242e+02
2.200000000000000000e+02,4.842131919878937879e+03,1.616258025382544474e+02,5.236233191821530681e+02,7.417074500043183605e+01,2.405567595312512879e+02
2.300000000000000000e+02,4.819769993774329123e+03,1.615150999337761561e+02,5.119995457119361504e+02,7.483496062730137055e+01,2.516270199790769198e+02
2.400000000000000000e+02,4.823091071908676895e+03,1.619579103516892076e+02,5.100068988313275327e+02,7.760252573925777142e+01,2.504092913298161136e+02
2.500000000000000000e+02,4.843903161550590085e+03,1.681572562024715580e+02,5.093426832044580124e+02,7.627409448551870241e+01,2.462025923596423809e+02
2.600000000000000000e+02,4.829069012550503430e+03,1.601866686800370871e+02,5.134386795701534538e+02,8.070219866464896086e+01,2.456490793372510666e+02
2.700000000000000000e+02,4.848552670938676783e+03,1.669395275532107519e+02,5.127744639432838767e+02,7.760252573925777142e+01,2.426601090163381400e+02
2.800000000000000000e+02,4.830397443804242357e+03,1.648361780681238713e+02,5.036968503760668909e+02,8.180922470943153257e+01,2.496343730984683020e+02
2.900000000000000000e+02,4.814677673968330055e+03,1.580833191949502350e+02,5.113353300850666301e+02,7.981657782882291485e+01,2.507413991432508737e+02
