# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,8.999014718037467446e+02,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.964300847727114387e+02,9.007870926395728475e+02,3.907801938082452864e+01,5.756535432869335978e+01,2.546159902999898694e+00
2.000000000000000000e+01,6.284586856230619105e+02,8.687940399453566442e+02,6.929983040338854039e+01,5.734394911973684117e+01,4.538806783608514195e+00
3.000000000000000000e+01,5.832920229959332801e+02,8.483140581168793233e+02,9.321159297069193883e+01,5.180881889582402522e+01,6.642156268695387666e+00
4.000000000000000000e+01,5.518524833241084480e+02,8.330370986988799586e+02,1.135808721946911248e+02,4.627368867191120216e+01,7.084966686608413333e+00
5.000000000000000000e+01,5.250624530403704284e+02,8.191992731390977269e+02,1.322896123515164675e+02,4.184558449278094372e+01,6.642156268695387666e+00
6.000000000000000000e+01,4.984938279655888209e+02,8.070219866464896086e+02,1.439133858217333852e+02,4.129207147038965786e+01,7.749182313477951389e+00
7.000000000000000000e+01,4.849881102192415483e+02,8.004905329822724980e+02,1.558692671053850916e+02,3.564623864199857906e+01,7.970587522434464667e+00
8.000000000000000000e+01,4.681613143385466174e+02,7.905272985792294094e+02,1.645040702546890827e+02,3.852450635843324989e+01,6.420751059738874389e+00
9.000000000000000000e+01,4.497846819951559496e+02,7.823353058478382991e+02,1.732495760084713368e+02,3.697466989573765517e+01,7.417074500043182361e+00
1.000000000000000000e+02,4.469064142787213427e+02,7.810068745940992585e+02,1.782311932099928811e+02,3.321078134347693833e+01,7.527777104521439888e+00
1.100000000000000000e+02,4.380502059204608258e+02,7.766894730194472913e+02,1.828807025980796652e+02,3.276797092556391533e+01,7.638479708999695639e+00
1.200000000000000000e+02,4.247658933830700221e+02,7.702687219597085004e+02,1.839877286428622369e+02,3.786029073156370828e+01,7.859884917956208916e+00
1.300000000000000000e+02,4.325150756965479673e+02,7.733683948850995193e+02,1.866445911503404034e+02,3.287867353004217108e+01,7.084966686608413333e+00
1.400000000000000000e+02,4.225518412935048786e+02,7.687188854970128205e+02,1.902977770981228502e+02,3.354288915691170558e+01,7.417074500043182361e+00
1.500000000000000000e+02,4.218876256666353584e+02,7.671690490343172542e+02,1.962757177399487034e+02,3.033251362704226750e+01,6.199345850782362000e+00
1.600000000000000000e+02,4.128100120994183158e+02,7.627409448551869673e+02,1.988218776429485786e+02,3.210375529869437372e+01,6.310048455260617750e+00
1.700000000000000000e+02,4.170167110695921338e+02,7.659513203850565333e+02,1.962757177399487034e+02,3.033251362704226750e+01,7.417074500043182361e+00
1.800000000000000000e+02,4.017397516515927123e+02,7.608590005790566693e+02,1.969399333668182521e+02,3.221445790317262947e+01,9.963234403043081500e+00
1.900000000000000000e+02,4.055036402038534220e+02,7.608590005790566693e+02,1.973827437847312751e+02,3.365359176138996133e+01,8.081290126912721306e+00
2.000000000000000000e+02,4.004113203978536148e+02,7.585342458850132061e+02,1.978255542026442697e+02,3.531413082856381180e+01,8.302695335869234583e+00
2.100000000000000000e+02,4.030681829053318097e+02,7.605268927656218239e+02,1.986004724339920813e+02,3.188235008973785867e+01,8.966910962738772639e+00
2.200000000000000000e+02,3.979758630993319457e+02,7.570951120267958458e+02,2.040249000534266770e+02,3.077532404495529761e+01,8.081290126912721306e+00
2.300000000000000000e+02,4.019611568605491811e+02,7.588663536984480515e+02,2.053533313071657460e+02,2.789705632852062678e+01,7.859884917956208916e+00
2.400000000000000000e+02,4.024039672784622326e+02,7.595305693253175150e+02,2.007038219190789619e+02,3.143953967182483566e+01,8.302695335869234583e+00
2.500000000000000000e+02,4.083819079202880857e+02,7.610804057880130813e+02,2.008145245235571963e+02,3.121813446286832061e+01,6.863561477651900944e+00
2.600000000000000000e+02,4.001899151888970891e+02,7.591984615118827833e+02,2.020322531728180593e+02,2.966829800017272945e+01,9.077613567217028390e+00
