# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,9.999987667729863460e+03,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,8.309116086928972436e+03,3.337683525019432409e+02,2.152058631057305433e+02,2.717748939941196227e+02,1.792275166502971899e+02
2.000000000000000000e+01,7.920107134792379838e+03,2.237299636505563001e+02,3.293402483228129540e+02,1.832128104115144254e+02,2.636936038672068889e+02
3.000000000000000000e+01,7.728148818627083529e+03,1.723639551726453192e+02,3.864627922335933476e+02,1.328431253739077533e+02,3.083067534719442619e+02
4.000000000000000000e+01,7.627188043342913261e+03,1.422528467545595561e+02,4.260943246368091195e+02,1.029534221647785017e+02,3.286760326959434337e+02
5.000000000000000000e+01,7.592427425536740884e+03,1.289685342171687807e+02,4.527736523160688762e+02,8.546241065721397945e+01,3.327720290616389320e+02
6.000000000000000000e+01,7.513164360730309454e+03,1.079350393663000460e+02,4.568696486817644313e+02,8.380187159004013608e+01,3.513700666139860118e+02
7.000000000000000000e+01,7.502758315909352859e+03,1.088206602021261062e+02,4.572017564951992199e+02,7.649549969447521391e+01,3.574587098602900710e+02
8.000000000000000000e+01,7.492573676297353813e+03,1.007393700752133725e+02,4.674970987116770402e+02,7.727041792582301127e+01,3.544697395393771444e+02
9.000000000000000000e+01,7.475304069998745945e+03,9.276878255277890162e+01,4.781245487415896491e+02,7.394933979147531034e+01,3.551339551662467215e+02
1.000000000000000000e+02,7.502979721118309499e+03,9.553634766473533091e+01,4.864272440774589086e+02,7.394933979147531034e+01,3.440636947184210612e+02
1.100000000000000000e+02,7.493237891924223732e+03,9.763969714982219728e+01,4.794529799953287466e+02,7.184599030638844397e+01,3.510379588005512232e+02
1.200000000000000000e+02,7.494787728386918388e+03,1.016249909110394327e+02,4.741392549803724137e+02,6.996404603025807489e+01,3.542483343304206755e+02
1.300000000000000000e+02,7.504972367998918344e+03,1.017356935155176814e+02,4.766854148833722888e+02,7.228880072430146697e+01,3.492667171288991312e+02
1.400000000000000000e+02,7.483496062730136146e+03,9.741829194086567156e+01,4.729215263311115791e+02,7.394933979147531034e+01,3.556874681886379790e+02
1.500000000000000000e+02,7.470654560610659246e+03,9.608986068712660256e+01,4.669435856892857259e+02,7.616339188104045377e+01,3.607797879946377861e+02
1.600000000000000000e+02,7.462905378297180505e+03,9.719688673190917427e+01,4.630689945325467534e+02,7.394933979147531034e+01,3.657614051961593304e+02
1.700000000000000000e+02,7.494344917969006019e+03,9.952164142595256635e+01,4.770175226968070774e+02,7.107107207504064661e+01,3.523663900542903207e+02
1.800000000000000000e+02,7.497223185685440512e+03,1.007393700752133725e+02,4.702646638236334411e+02,7.682760750790998827e+01,3.521449848453337950e+02
1.900000000000000000e+02,7.483496062730136146e+03,1.006286674707351239e+02,4.677185039206335091e+02,7.273161114221448997e+01,3.588978437185074881e+02
2.000000000000000000e+02,7.489031192954049402e+03,1.006286674707351239e+02,4.674970987116770402e+02,7.572058146312741655e+01,3.561302786065510304e+02
2.100000000000000000e+02,7.488588382536137033e+03,9.786110235877872299e+01,4.707074742415464357e+02,7.782393094821429713e+01,3.535841187035511552e+02
2.200000000000000000e+02,7.486595735655528188e+03,1.005179648662568752e+02,4.684934221519813491e+02,7.372793458251879883e+01,3.572373046513336021e+02
2.300000000000000000e+02,7.496337564849613955e+03,1.009607752841698840e+02,4.734750393535028934e+02,7.273161114221448997e+01,3.528092004722033153e+02
2.400000000000000000e+02,7.463569593924050423e+03,9.299018776173542733e+01,4.730322289355898420e+02,7.273161114221448997e+01,3.612225984125508376e+02
2.500000000000000000e+02,7.476632501252484872e+03,9.420791641099624769e+01,4.828847607341546677e+02,6.697507570934514831e+01,3.559088733975945615e+02
2.600000000000000000e+02,7.462905378297180505e+03,9.287948515725717868e+01,4.766854148833722888e+02,6.896772258995376603e+01,3.614440036215073064e+02
2.700000000000000000e+02,7.488366977327179484e+03,9.719688673190917427e+01,4.787887643684592263e+02,7.096036947056238375e+01,3.530306056811598410e+02
2.800000000000000000e+02,7.489916813789875960e+03,9.697548152295266277e+01,4.769068200923288146e+02,7.406004239595357319e+01,3.520342822408555321e+02
2.900000000000000000e+02,7.496780375267527234e+03,9.786110235877872299e+01,4.811135190625025757e+02,7.151388249295366961e+01,3.494881223378556001e+02
3.000000000000000000e+02,7.488366977327179484e+03,1.020678013289524557e+02,4.698218534057204465e+02,7.018545123921460061e+01,3.579015202782031793e+02
3.100000000000000000e+02,7.479289363759963635e+03,9.664337370951788841e+01,4.744713627938072023e+02,7.184599030638844397e+01,3.570158994423770764e+02
3.200000000000000000e+02,7.479289363759963635e+03,9.376510599308321048e+01,4.733643367490245737e+02,7.870955178404034314e+01,3.541376317259424127e+02
3.300000000000000000e+02,7.475968285625615863e+03,9.763969714982219728e+01,4.696004481967639208e+02,7.306371895564926433e+01,3.596727619498552144e+02
3.400000000000000000e+02,7.469990344983789328e+03,9.398651120203973619e+01,4.715930950773725385e+02,7.538847364969264220e+01,3.590085463229856941e+02
3.500000000000000000e+02,7.473532828327092830e+03,9.431861901547449634e+01,4.750248758161984597e+02,7.306371895564926433e+01,3.575694124647683907e+02
3.600000000000000000e+02,7.501208479446658203e+03,9.476142943338751934e+01,4.880877831446327377e+02,7.295301635117100147e+01,3.441743973228993241e+02
3.700000000000000000e+02,7.485488709610744991e+03,1.008500726796916354e+02,4.702646638236334411e+02,7.073896426160587225e+01,3.581229254871595913e+02
3.800000000000000000e+02,7.493680702342136101e+03,9.896812840356128049e+01,4.728108237266333731e+02,7.605268927656219091e+01,3.521449848453337950e+02
3.900000000000000000e+02,7.480839200222658292e+03,9.653267110503963977e+01,4.730322289355898420e+02,7.428144760491008469e+01,3.561302786065510304e+02
4.000000000000000000e+02,7.490581029416745878e+03,9.952164142595256635e+01,4.790101695774156951e+02,6.719648091830167402e+01,3.542483343304206755e+02
4.100000000000000000e+02,7.453827764729963747e+03,9.166175650799634411e+01,4.717037976818507445e+02,7.184599030638844397e+01,3.647650817558550216e+02
4.200000000000000000e+02,7.479067958551006086e+03,9.608986068712660256e+01,4.788994669729374323e+02,6.841420956756249439e+01,3.565730890244640818e+02
4.300000000000000000e+02,7.484603088774919343e+03,9.487213203786579641e+01,4.791208721818939580e+02,7.339582676908403869e+01,3.525877952632468464e+02
4.400000000000000000e+02,7.469104724147963680e+03,9.442932161995275919e+01,4.760211992565027685e+02,6.963193821682331475e+01,3.598941671588117970e+02
4.500000000000000000e+02,7.484824493983875072e+03,1.002965596573003495e+02,4.725894185176768474e+02,6.918912779891029174e+01,3.579015202782031793e+02
4.600000000000000000e+02,7.487259951282398106e+03,9.697548152295266277e+01,4.782352513460679120e+02,7.140317988847542097e+01,3.533627134945946295e+02
4.700000000000000000e+02,7.481724821058484849e+03,9.708618412743091142e+01,4.781245487415896491e+02,6.852491217204075724e+01,3.562409812110292933e+02
4.800000000000000000e+02,7.489031192954049402e+03,9.741829194086567156e+01,4.762426044654592943e+02,7.339582676908403869e+01,3.529199030766816350e+02
4.900000000000000000e+02,7.468661913730050401e+03,9.498283464234404505e+01,4.687148273609378180e+02,7.560987885864915370e+01,3.606690853901595233e+02
5.000000000000000000e+02,7.472204397073353903e+03,9.520423985130055655e+01,4.698218534057204465e+02,7.583128406760567941e+01,3.591192489274639001e+02
