# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,5.999970460117021503e+03,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.854419908976024089e+03,5.077928467417623892e+02,1.658325015084281802e+02,2.457597819417293294e+02,8.059149606017069800e+01
2.000000000000000000e+01,4.561279412317600872e+03,4.082712053158098229e+02,2.770886190090759555e+02,1.869766989637751635e+02,1.276401029634296975e+02
3.000000000000000000e+01,4.359357861749261247e+03,3.352074863601605443e+02,3.528092004722033153e+02,1.564227801277763774e+02,1.555371592919503314e+02
4.000000000000000000e+01,4.253304766659091001e+03,2.969043852106838131e+02,4.055036402038534220e+02,1.273079951499949232e+02,1.702606056875584102e+02
5.000000000000000000e+01,4.185333367509441814e+03,2.752066747329455438e+02,4.301903210025045610e+02,1.120310357319955301e+02,1.825485947846448767e+02
6.000000000000000000e+01,4.130646280897182805e+03,2.560551241582072066e+02,4.505596002265037896e+02,1.026213143513437416e+02,1.907405875160359017e+02
7.000000000000000000e+01,4.057582561941533640e+03,2.321433615909037940e+02,4.648402362041989022e+02,9.963234403043081500e+01,2.033606844265571283e+02
8.000000000000000000e+01,4.044962465031012471e+03,2.232871532326432771e+02,4.854309206371545997e+02,9.044402785873552375e+01,2.008145245235571963e+02
9.000000000000000000e+01,4.043634033777273544e+03,2.158700787326000921e+02,5.033647425626321592e+02,8.668013930647481402e+01,1.940616656503835884e+02
1.000000000000000000e+02,4.024150375389100645e+03,2.134346214340784513e+02,5.029219321447190509e+02,8.225203512734454137e+01,2.013680375459485106e+02
1.100000000000000000e+02,4.014629951403970608e+03,2.117740823669045938e+02,5.058001998611537715e+02,7.793463355269254578e+01,2.044677104713396716e+02
1.200000000000000000e+02,3.985625869030667218e+03,2.019215505683397680e+02,5.064644154880232918e+02,8.247344033630106708e+01,2.091172198594264273e+02
1.300000000000000000e+02,3.981640575269449982e+03,1.978255542026442697e+02,5.106711144581970530e+02,8.446608721690968480e+01,2.070138703743396036e+02
1.400000000000000000e+02,3.975219824209711078e+03,1.947258812772531371e+02,5.108925196671535218e+02,8.723365232886609988e+01,2.071245729788178096e+02
1.500000000000000000e+02,3.992046620090406577e+03,1.982683646205573211e+02,5.169811629134576378e+02,8.247344033630106708e+01,2.022536583817745566e+02
1.600000000000000000e+02,3.983411816941102188e+03,1.983790672250355840e+02,5.180881889582402664e+02,7.682760750790998827e+01,2.066817625609048150e+02
1.700000000000000000e+02,3.994924887806840616e+03,1.974934463892095096e+02,5.211878618836313990e+02,8.125571168704023250e+01,2.000396062922094416e+02
1.800000000000000000e+02,3.969241883567884997e+03,1.942830708593400857e+02,5.153206238462838655e+02,8.070219866464896086e+01,2.096707328818177416e+02
