# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,9.996445184386558935e+01,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.538847364969264220e+01,9.876886371550041304e+02,4.981617201521540750e+00,7.306371895564926611e+00,0.000000000000000000e+00
2.000000000000000000e+01,7.228880072430146697e+01,9.864709085057434095e+02,7.195669291086669972e+00,5.977940641825848722e+00,3.321078134347693611e-01
3.000000000000000000e+01,6.631086008247561381e+01,9.831498303713956375e+02,1.095955784334738858e+01,5.867238037347592972e+00,0.000000000000000000e+00
4.000000000000000000e+01,5.944729860482372175e+01,9.798287522370479792e+02,1.239869170156472400e+01,7.638479708999695639e+00,1.107026044782564583e-01
5.000000000000000000e+01,5.922589339586721024e+01,9.798287522370479792e+02,1.350571774634728683e+01,6.420751059738874389e+00,2.214052089565129167e-01
6.000000000000000000e+01,5.811886735108463853e+01,9.792752392146566081e+02,1.527695941799939128e+01,5.203022410478053139e+00,2.214052089565129167e-01
7.000000000000000000e+01,5.125530587343274647e+01,9.757327558713524240e+02,1.771241671652103378e+01,6.420751059738874389e+00,1.107026044782564583e-01
8.000000000000000000e+01,4.926265899282412875e+01,9.746257298265697955e+02,1.904084797026011344e+01,6.310048455260617750e+00,0.000000000000000000e+00
9.000000000000000000e+01,5.169811629134576236e+01,9.758434584758307437e+02,1.859803755234708333e+01,5.535130223912823055e+00,0.000000000000000000e+00
1.000000000000000000e+02,5.081249545551971636e+01,9.756220532668741043e+02,1.915155057473836564e+01,4.981617201521540750e+00,2.214052089565129167e-01
1.100000000000000000e+02,4.926265899282412875e+01,9.746257298265697955e+02,2.059068443295570106e+01,4.760211992565028361e+00,0.000000000000000000e+00
1.200000000000000000e+02,4.572017564951991631e+01,9.731865959683525489e+02,2.191911568669477717e+01,4.538806783608514195e+00,3.321078134347693611e-01
1.300000000000000000e+02,4.771282253012853403e+01,9.739615141997002183e+02,2.269403391804257097e+01,3.210375529869437194e+00,1.107026044782564583e-01
1.400000000000000000e+02,4.793422773908505263e+01,9.739615141997002183e+02,2.214052089565129222e+01,3.874591156738975695e+00,0.000000000000000000e+00
1.500000000000000000e+02,4.284190793308525258e+01,9.715260569011787766e+02,2.269403391804257097e+01,5.645832828391079694e+00,1.107026044782564583e-01
1.600000000000000000e+02,4.682720169430248092e+01,9.735187037817873943e+02,2.214052089565129222e+01,4.206698970173745167e+00,1.107026044782564583e-01
1.700000000000000000e+02,4.549877044056340480e+01,9.728544881549178172e+02,2.258333131356431878e+01,4.428104179130258444e+00,1.107026044782564583e-01
1.800000000000000000e+02,4.372752876891129858e+01,9.720795699235699203e+02,2.391176256730339489e+01,3.763888552260719944e+00,2.214052089565129167e-01
1.900000000000000000e+02,4.084926105247663486e+01,9.705297334608744677e+02,2.446527558969468075e+01,4.870914597043284111e+00,1.107026044782564583e-01
2.000000000000000000e+02,4.040645063456361186e+01,9.704190308563961480e+02,2.512949121656421880e+01,4.206698970173745167e+00,2.214052089565129167e-01
2.100000000000000000e+02,4.151347667934616936e+01,9.707511386698308797e+02,2.546159902999898605e+01,3.763888552260719944e+00,0.000000000000000000e+00
2.200000000000000000e+02,4.195628709725919947e+01,9.709725438787874054e+02,2.557230163447724181e+01,3.431780738825950472e+00,0.000000000000000000e+00
2.300000000000000000e+02,4.062785584352011625e+01,9.703083282519178283e+02,2.557230163447724181e+01,4.095996365695489416e+00,0.000000000000000000e+00
2.400000000000000000e+02,4.173488188830268797e+01,9.708618412743091994e+02,2.623651726134677986e+01,2.878267716434667722e+00,0.000000000000000000e+00
2.500000000000000000e+02,3.885661417186801714e+01,9.697548152295265709e+02,2.512949121656421880e+01,4.760211992565028361e+00,3.321078134347693611e-01
2.600000000000000000e+02,4.151347667934616936e+01,9.708618412743091994e+02,2.512949121656421880e+01,3.874591156738975695e+00,1.107026044782564583e-01
2.700000000000000000e+02,4.018504542560709325e+01,9.700869230429613026e+02,2.479738340312944800e+01,5.092319805999797389e+00,0.000000000000000000e+00
2.800000000000000000e+02,4.040645063456361186e+01,9.701976256474396223e+02,2.479738340312944800e+01,4.981617201521540750e+00,0.000000000000000000e+00
2.900000000000000000e+02,3.819239854499847553e+01,9.692013022071353134e+02,2.656862507478155067e+01,4.095996365695489416e+00,1.107026044782564583e-01
3.000000000000000000e+02,3.841380375395499414e+01,9.692013022071353134e+02,2.767565111956411172e+01,3.099672925391181000e+00,0.000000000000000000e+00
3.100000000000000000e+02,3.597834645543334631e+01,9.680942761623526849e+02,2.811846153747714183e+01,3.653185947782463305e+00,1.107026044782564583e-01
3.200000000000000000e+02,3.597834645543334631e+01,9.679835735578744789e+02,2.856127195539016483e+01,3.431780738825950472e+00,0.000000000000000000e+00
3.300000000000000000e+02,3.376429436586822419e+01,9.668765475130919640e+02,2.900408237330319139e+01,4.095996365695489416e+00,0.000000000000000000e+00
3.400000000000000000e+02,3.420710478378124719e+01,9.670979527220483760e+02,2.811846153747714183e+01,4.760211992565028361e+00,0.000000000000000000e+00
3.500000000000000000e+02,3.907801938082452864e+01,9.696441126250482512e+02,2.701143549269457367e+01,3.210375529869437194e+00,1.107026044782564583e-01
3.600000000000000000e+02,3.730677770917242242e+01,9.686477891847439423e+02,2.745424591060760378e+01,3.874591156738975695e+00,0.000000000000000000e+00
3.700000000000000000e+02,3.730677770917242242e+01,9.687584917892222620e+02,2.734354330612934447e+01,3.763888552260719944e+00,1.107026044782564583e-01
3.800000000000000000e+02,3.686396729125939942e+01,9.688691943937005817e+02,2.679003028373806572e+01,3.874591156738975695e+00,4.428104179130258333e-01
3.900000000000000000e+02,3.885661417186801714e+01,9.694227074160918391e+02,2.645792247030329492e+01,4.095996365695489416e+00,0.000000000000000000e+00
4.000000000000000000e+02,3.797099333604196403e+01,9.690905996026569937e+02,2.778635372404237103e+01,2.988970320912924361e+00,1.107026044782564583e-01
4.100000000000000000e+02,3.797099333604196403e+01,9.689798969981787877e+02,2.734354330612934447e+01,3.653185947782463305e+00,0.000000000000000000e+00
4.200000000000000000e+02,4.040645063456361186e+01,9.703083282519178283e+02,2.612581465686852411e+01,3.431780738825950472e+00,1.107026044782564583e-01
4.300000000000000000e+02,3.929942458978104014e+01,9.696441126250482512e+02,2.579370684343375686e+01,4.538806783608514195e+00,0.000000000000000000e+00
4.400000000000000000e+02,4.461314960473735880e+01,9.724116777370047657e+02,2.468668079865118870e+01,2.767565111956411528e+00,1.107026044782564583e-01
4.500000000000000000e+02,3.952082979873755875e+01,9.697548152295265709e+02,2.579370684343375686e+01,4.428104179130258444e+00,0.000000000000000000e+00
4.600000000000000000e+02,3.752818291812894103e+01,9.689798969981787877e+02,2.667932767925980642e+01,4.095996365695489416e+00,2.214052089565129167e-01
4.700000000000000000e+02,3.996364021665058175e+01,9.699762204384830966e+02,2.645792247030329492e+01,3.542483343304206667e+00,0.000000000000000000e+00
4.800000000000000000e+02,4.018504542560709325e+01,9.700869230429613026e+02,2.612581465686852411e+01,3.763888552260719944e+00,0.000000000000000000e+00
4.900000000000000000e+02,4.062785584352011625e+01,9.703083282519178283e+02,2.590440944791201261e+01,3.763888552260719944e+00,0.000000000000000000e+00
5.000000000000000000e+02,3.774958812708545253e+01,9.689798969981787877e+02,2.623651726134677986e+01,4.649509388086770834e+00,1.107026044782564583e-01
5.100000000000000000e+02,4.173488188830268797e+01,9.708618412743091994e+02,2.579370684343375686e+01,3.321078134347693833e+00,0.000000000000000000e+00
5.200000000000000000e+02,3.885661417186801714e+01,9.697548152295265709e+02,2.601511205239026481e+01,3.874591156738975695e+00,3.321078134347693611e-01
5.300000000000000000e+02,4.173488188830268797e+01,9.708618412743091994e+02,2.546159902999898605e+01,3.653185947782463305e+00,0.000000000000000000e+00
5.400000000000000000e+02,4.107066626143314636e+01,9.705297334608744677e+02,2.546159902999898605e+01,3.985293761217232333e+00,0.000000000000000000e+00
5.500000000000000000e+02,4.062785584352011625e+01,9.705297334608744677e+02,2.535089642552072675e+01,3.874591156738975695e+00,2.214052089565129167e-01
5.600000000000000000e+02,4.062785584352011625e+01,9.703083282519178283e+02,2.512949121656421880e+01,4.538806783608514195e+00,0.000000000000000000e+00
5.700000000000000000e+02,4.372752876891129858e+01,9.719688673190917143e+02,2.424387038073816569e+01,3.653185947782463305e+00,1.107026044782564583e-01
5.800000000000000000e+02,4.306331314204175698e+01,9.716367595056568689e+02,2.435457298521641789e+01,3.874591156738975695e+00,1.107026044782564583e-01
5.900000000000000000e+02,4.062785584352011625e+01,9.703083282519178283e+02,2.579370684343375686e+01,3.874591156738975695e+00,0.000000000000000000e+00
6.000000000000000000e+02,4.151347667934616936e+01,9.708618412743091994e+02,2.501878861208595950e+01,3.985293761217232333e+00,1.107026044782564583e-01
6.100000000000000000e+02,3.952082979873755875e+01,9.699762204384830966e+02,2.512949121656421880e+01,4.649509388086770834e+00,2.214052089565129167e-01
6.200000000000000000e+02,4.151347667934616936e+01,9.707511386698308797e+02,2.546159902999898605e+01,3.763888552260719944e+00,0.000000000000000000e+00
6.300000000000000000e+02,4.040645063456361186e+01,9.703083282519178283e+02,2.446527558969468075e+01,5.092319805999797389e+00,1.107026044782564583e-01
6.400000000000000000e+02,4.062785584352011625e+01,9.704190308563961480e+02,2.546159902999898605e+01,3.985293761217232333e+00,1.107026044782564583e-01
6.500000000000000000e+02,4.129207147038965786e+01,9.706404360653525600e+02,2.512949121656421880e+01,4.206698970173745167e+00,0.000000000000000000e+00
6.600000000000000000e+02,4.151347667934616936e+01,9.707511386698308797e+02,2.601511205239026481e+01,3.210375529869437194e+00,0.000000000000000000e+00
6.700000000000000000e+02,4.018504542560709325e+01,9.700869230429613026e+02,2.579370684343375686e+01,4.095996365695489416e+00,0.000000000000000000e+00
6.800000000000000000e+02,3.907801938082452864e+01,9.696441126250482512e+02,2.656862507478155067e+01,3.653185947782463305e+00,1.107026044782564583e-01
6.900000000000000000e+02,3.863520896291150564e+01,9.694227074160918391e+02,2.701143549269457367e+01,3.431780738825950472e+00,1.107026044782564583e-01
7.000000000000000000e+02,3.863520896291150564e+01,9.695334100205701588e+02,2.667932767925980642e+01,3.542483343304206667e+00,2.214052089565129167e-01
7.100000000000000000e+02,3.952082979873755875e+01,9.697548152295265709e+02,2.579370684343375686e+01,4.428104179130258444e+00,0.000000000000000000e+00
7.200000000000000000e+02,4.217769230621571097e+01,9.711939490877439312e+02,2.468668079865118870e+01,3.985293761217232333e+00,1.107026044782564583e-01
7.300000000000000000e+02,4.173488188830268797e+01,9.708618412743091994e+02,2.501878861208595950e+01,4.095996365695489416e+00,0.000000000000000000e+00
