# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,9.000011041477771869e+03,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.416299581811835196e+03,3.622189218528551464e+02,2.118847849713828566e+02,2.717748939941196227e+02,1.540980254337329995e+02
2.000000000000000000e+01,7.048324124526110609e+03,2.574942580164245101e+02,3.256870623750305072e+02,1.834342156204709511e+02,2.333610902401646001e+02
3.000000000000000000e+01,6.890019400122203479e+03,2.035820896355136256e+02,3.968688370545494308e+02,1.409244155008204586e+02,2.586012840612070818e+02
4.000000000000000000e+01,6.791051271718642056e+03,1.746887098666886970e+02,4.414819866592867470e+02,1.046139612319523593e+02,2.791919684941627793e+02
5.000000000000000000e+01,6.701160756882298301e+03,1.475665717695158605e+02,4.612977528608946614e+02,9.409721380651798484e+01,2.970150878151620759e+02
6.000000000000000000e+01,6.646695075478996841e+03,1.331752331873425135e+02,4.683827195475030294e+02,8.856208358260516889e+01,3.098565899346398282e+02
7.000000000000000000e+01,6.634739194195344680e+03,1.321789097470382046e+02,4.736964445624593623e+02,7.926306480643161478e+01,3.148382071361613725e+02
8.000000000000000000e+01,6.600864197224997952e+03,1.217728649260821072e+02,4.771282253012853403e+02,7.970587522434465200e+01,3.213696608003784831e+02
9.000000000000000000e+01,6.584701616971172371e+03,1.175661659559083603e+02,4.801171956221982668e+02,7.704901271686649977e+01,3.252442519571175126e+02
1.000000000000000000e+02,6.567874821090476871e+03,1.144664930305171850e+02,4.788994669729374323e+02,7.605268927656219091e+01,3.305579769720737886e+02
1.100000000000000000e+02,6.577838055493520187e+03,1.153521138663432168e+02,4.793422773908504269e+02,7.882025438851860599e+01,3.264619806063782903e+02
1.200000000000000000e+02,6.591343773239867915e+03,1.123631435454303045e+02,4.926265899282412306e+02,7.826674136612732013e+01,3.167201514122917274e+02
1.300000000000000000e+02,6.599092955553345746e+03,1.175661659559083603e+02,4.894162143983718352e+02,7.494566323177961920e+01,3.180485826660307680e+02
1.400000000000000000e+02,6.598428739926475828e+03,1.163484373066475257e+02,4.918516716968934475e+02,7.461355541834484484e+01,3.171629618302047788e+02
1.500000000000000000e+02,6.592672204493606841e+03,1.145771956349954337e+02,4.936229133685455395e+02,7.350652937356228733e+01,3.182699878749873506e+02
1.600000000000000000e+02,6.589572531568215709e+03,1.145771956349954337e+02,4.885305935625457323e+02,7.704901271686649977e+01,3.198198243376829168e+02
1.700000000000000000e+02,6.586694263851781216e+03,1.143557904260389222e+02,4.956155602491541572e+02,6.896772258995376603e+01,3.210375529869436946e+02
1.800000000000000000e+02,6.568539036717346789e+03,1.091527680155608806e+02,4.939550211819802712e+02,7.195669291086669261e+01,3.249121441436827240e+02
1.900000000000000000e+02,6.574295572150216685e+03,1.121417383364737930e+02,4.874235675177632174e+02,7.538847364969264220e+01,3.250228467481609300e+02
2.000000000000000000e+02,6.593115014911519211e+03,1.159056268887345169e+02,4.924051847192847617e+02,7.228880072430146697e+01,3.193770139197698654e+02
2.100000000000000000e+02,6.563889527329260090e+03,1.116989279185607558e+02,4.858737310550675943e+02,7.262090853773622712e+01,3.297830587407260055e+02
2.200000000000000000e+02,6.578280865911434375e+03,1.123631435454303045e+02,4.932908055551107509e+02,7.107107207504064661e+01,3.232516050765088949e+02
2.300000000000000000e+02,6.585144427389084740e+03,1.114775227096042585e+02,4.986045305700670838e+02,7.096036947056238375e+01,3.189342035018568708e+02
