# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,3.000040581360750025e+02,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.247262870908606089e+02,9.625591459384399968e+02,1.372712295530380189e+01,2.346895214939037189e+01,2.214052089565129167e-01
2.000000000000000000e+01,2.081208964191221185e+02,9.544778558115272062e+02,2.479738340312944800e+01,2.025857661952093025e+01,4.428104179130258333e-01
3.000000000000000000e+01,1.908512901205141361e+02,9.456216474532667462e+02,3.398569957482472859e+01,2.014787401504267450e+01,2.214052089565129167e-01
4.000000000000000000e+01,1.815522713443405678e+02,9.411935432741364593e+02,4.118136886591140211e+01,1.715890369412975147e+01,4.428104179130258333e-01
5.000000000000000000e+01,1.738030890308626510e+02,9.379831677442670070e+02,4.638439127638945081e+01,1.450204118665159569e+01,1.107026044782564611e+00
6.000000000000000000e+01,1.651682858815586314e+02,9.333336583561803081e+02,5.048038764208494200e+01,1.538766202247764880e+01,7.749182313477952500e-01
7.000000000000000000e+01,1.534338098068634508e+02,9.284627437591368562e+02,5.446568140330217744e+01,1.527695941799939128e+01,1.771241671652103333e+00
8.000000000000000000e+01,1.540980254337329995e+02,9.284627437591368562e+02,5.712254391078032967e+01,1.295220472395600630e+01,1.439133858217333861e+00
9.000000000000000000e+01,1.478986795829506207e+02,9.248095578113543525e+02,6.088643246304105361e+01,1.339501514186903286e+01,8.856208358260516667e-01
1.000000000000000000e+02,1.419207389411247675e+02,9.215991822814850138e+02,6.310048455260618283e+01,1.461274379112985322e+01,6.642156268695387222e-01
1.100000000000000000e+02,1.401494972694726755e+02,9.207135614456590247e+02,6.409680799291048459e+01,1.450204118665159569e+01,6.642156268695387222e-01
1.200000000000000000e+02,1.374926347619945091e+02,9.194958327963980764e+02,6.620015747799736516e+01,1.350571774634728683e+01,7.749182313477952500e-01
1.300000000000000000e+02,1.330645305828642790e+02,9.176138885202677784e+02,6.896772258995376603e+01,1.228798909708646647e+01,1.107026044782564611e+00
1.400000000000000000e+02,1.306290732843426099e+02,9.160640520575722121e+02,7.084966686608413511e+01,1.228798909708646647e+01,7.749182313477952500e-01
1.500000000000000000e+02,1.308504784932991356e+02,9.165068624754851498e+02,7.051755905264936075e+01,1.184517867917343992e+01,1.107026044782564611e+00
1.600000000000000000e+02,1.337287462097337993e+02,9.175031859157894587e+02,7.073896426160587225e+01,1.107026044782564611e+01,6.642156268695387222e-01
1.700000000000000000e+02,1.268651847320819002e+02,9.145142155948765321e+02,7.140317988847542097e+01,1.295220472395600630e+01,1.107026044782564611e+00
1.800000000000000000e+02,1.297434524485165639e+02,9.157319442441374804e+02,7.339582676908403869e+01,9.963234403043081500e+00,8.856208358260516667e-01
1.900000000000000000e+02,1.222156753439951302e+02,9.120787582963549767e+02,7.472425802282310769e+01,1.217728649260820895e+01,9.963234403043080833e-01
2.000000000000000000e+02,1.255367534783428312e+02,9.139607025724852747e+02,7.317442156012752719e+01,1.162377347021692842e+01,1.217728649260821028e+00
2.100000000000000000e+02,1.262009691052123657e+02,9.138499999680070687e+02,7.494566323177961920e+01,1.040604482095610628e+01,7.749182313477952500e-01
2.200000000000000000e+02,1.233227013887776877e+02,9.126322713187462341e+02,7.450285281386659619e+01,1.184517867917343992e+01,9.963234403043080833e-01
2.300000000000000000e+02,1.224370805529516559e+02,9.121894609008331827e+02,7.350652937356228733e+01,1.328431253739077533e+01,9.963234403043080833e-01
2.400000000000000000e+02,1.297434524485165639e+02,9.157319442441374804e+02,7.239950332877972983e+01,1.095955784334738858e+01,8.856208358260516667e-01
2.500000000000000000e+02,1.231012961798211904e+02,9.121894609008331827e+02,7.383863718699706169e+01,1.328431253739077533e+01,6.642156268695387222e-01
2.600000000000000000e+02,1.304076680753861126e+02,9.160640520575722121e+02,7.317442156012752719e+01,9.852531798564825749e+00,8.856208358260516667e-01
2.700000000000000000e+02,1.224370805529516559e+02,9.129643791321809658e+02,7.239950332877972983e+01,1.284150211947774878e+01,1.771241671652103333e+00
2.800000000000000000e+02,1.312932889112121586e+02,9.162854572665287378e+02,7.339582676908403869e+01,9.631126589608312472e+00,6.642156268695387222e-01
2.900000000000000000e+02,1.200016232544300010e+02,9.113038400650071935e+02,7.494566323177961920e+01,1.239869170156472400e+01,1.328431253739077444e+00
3.000000000000000000e+02,1.188945972096474435e+02,9.105289218336592967e+02,7.583128406760567941e+01,1.250939430604297975e+01,1.107026044782564611e+00
3.100000000000000000e+02,1.246511326425167709e+02,9.132964869456158112e+02,7.494566323177961920e+01,1.073815263439087708e+01,9.963234403043080833e-01
3.200000000000000000e+02,1.242083222246037479e+02,9.126322713187462341e+02,7.494566323177961920e+01,1.184517867917343992e+01,5.535130223912823055e-01
3.300000000000000000e+02,1.222156753439951302e+02,9.118573530873984510e+02,7.583128406760567941e+01,1.151307086573867089e+01,7.749182313477952500e-01
3.400000000000000000e+02,1.235441065977342134e+02,9.124108661097898221e+02,7.394933979147531034e+01,1.295220472395600630e+01,6.642156268695387222e-01
3.500000000000000000e+02,1.275294003589514347e+02,9.147356208038331715e+02,7.560987885864915370e+01,8.634803149304003611e+00,9.963234403043080833e-01
3.600000000000000000e+02,1.255367534783428312e+02,9.141821077814418004e+02,7.361723197804053598e+01,1.073815263439087708e+01,1.439133858217333861e+00
3.700000000000000000e+02,1.281936159858209692e+02,9.149570260127895835e+02,7.306371895564926433e+01,1.107026044782564611e+01,8.856208358260516667e-01
3.800000000000000000e+02,1.328431253739077533e+02,9.168389702889199953e+02,7.372793458251879883e+01,8.966910962738772639e+00,4.428104179130258333e-01
