# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,1.999953252504181137e+03,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.548286626232894832e+03,7.872062204448817511e+02,7.583128406760567941e+01,1.238762144111689736e+02,1.306290732843426206e+01
2.000000000000000000e+01,1.434927159247160262e+03,7.360616171759272675e+02,1.347250696500381082e+02,1.105919018737781983e+02,1.859803755234708333e+01
3.000000000000000000e+01,1.344593833992903001e+03,6.996404603025807774e+02,1.797810296726885042e+02,9.321159297069193883e+01,2.734354330612934447e+01
4.000000000000000000e+01,1.288135505708992014e+03,6.740681586681035924e+02,2.167556995684261381e+02,7.915236220195336614e+01,3.000040581360750025e+01
5.000000000000000000e+01,1.209536656529430047e+03,6.346580314738442894e+02,2.495236704939900676e+02,8.590522107512701666e+01,2.988970320912924450e+01
6.000000000000000000e+01,1.157506432424649574e+03,6.148422652722363182e+02,2.742103512926412350e+02,7.483496062730137055e+01,3.608904905991160916e+01
7.000000000000000000e+01,1.142229473006650096e+03,6.038827074288889207e+02,2.903729315464667025e+02,7.295301635117100147e+01,3.276797092556391533e+01
8.000000000000000000e+01,1.123852840663259485e+03,5.928124469810633173e+02,3.124027498376397034e+02,6.387540278395398019e+01,3.088602664943355336e+01
9.000000000000000000e+01,1.111454148961694727e+03,5.888271532198460818e+02,3.179378800615525620e+02,6.011151423169325625e+01,3.310007873899868258e+01
1.000000000000000000e+02,1.097062810379521579e+03,5.806351604884550852e+02,3.259084675839870329e+02,6.132924288095407661e+01,3.210375529869437372e+01
1.100000000000000000e+02,1.080457419707783174e+03,5.789746214212811992e+02,3.236944154944218894e+02,5.856167776899766864e+01,3.874591156738976139e+01
1.200000000000000000e+02,1.067837322797261777e+03,5.708933312943685223e+02,3.328827316661171949e+02,5.922589339586721024e+01,3.697466989573765517e+01
1.300000000000000000e+02,1.065180460289783696e+03,5.691220896227164303e+02,3.347646759422475498e+02,5.955800120930197750e+01,3.653185947782463217e+01
1.400000000000000000e+02,1.055217225886740607e+03,5.648046880480644631e+02,3.409640217930299286e+02,5.701184130630207392e+01,3.719607510469416667e+01
1.500000000000000000e+02,1.048353664409088651e+03,5.603765838689341763e+02,3.464991520169426735e+02,5.690113870182382527e+01,3.619975166438986491e+01
1.600000000000000000e+02,1.049903500871784217e+03,5.580518291748908268e+02,3.495988249423339198e+02,5.922589339586721024e+01,3.310007873899868258e+01
1.700000000000000000e+02,1.035512162289610842e+03,5.553949666674126320e+02,3.477168806662035649e+02,5.922589339586721024e+01,3.763888552260719678e+01
1.800000000000000000e+02,1.029977032065698040e+03,5.525166989509780251e+02,3.536948213080293613e+02,5.623692307495428366e+01,3.752818291812894103e+01
1.900000000000000000e+02,1.026655953931350496e+03,5.497491338390215105e+02,3.550232525617684587e+02,5.878308297795418014e+01,3.642115687334637641e+01
2.000000000000000000e+02,1.020899418498481054e+03,5.479778921673694185e+02,3.572373046513336021e+02,5.723324651525859252e+01,3.752818291812894103e+01
2.100000000000000000e+02,1.024220496632828826e+03,5.512989703017171905e+02,3.553553603752032473e+02,5.413357358986741019e+01,3.918872198530278439e+01
2.200000000000000000e+02,1.033076704991089173e+03,5.543986432271083231e+02,3.534734160990728356e+02,5.424427619434566594e+01,3.786029073156370828e+01
2.300000000000000000e+02,1.025991738304480805e+03,5.483099999808042639e+02,3.566837916289422878e+02,5.966870381378022614e+01,3.531413082856381180e+01
2.400000000000000000e+02,1.039940266468741129e+03,5.547307510405430548e+02,3.572373046513336021e+02,5.324795275404135708e+01,3.476061780617253305e+01
2.500000000000000000e+02,1.005179648662568638e+03,5.406715202718045248e+02,3.673112416588549536e+02,5.391216838091089869e+01,3.808169594052022688e+01
2.600000000000000000e+02,1.002744191364047083e+03,5.371290369285003408e+02,3.731784796962025439e+02,5.391216838091089869e+01,3.575694124647683481e+01
2.700000000000000000e+02,1.002301380946134032e+03,5.396751968315002159e+02,3.715179406290287147e+02,5.025898243312843761e+01,3.852450635843324989e+01
2.800000000000000000e+02,1.006065269498394741e+03,5.389002786001524328e+02,3.717393458379851836e+02,5.346935796299786858e+01,3.586764385095509056e+01
2.900000000000000000e+02,1.013371641393959635e+03,5.418892489210653594e+02,3.694145911439417773e+02,5.346935796299786858e+01,3.520342822408555605e+01
3.000000000000000000e+02,1.002744191364047083e+03,5.406715202718045248e+02,3.624403270618116153e+02,5.756535432869335978e+01,3.929942458978104014e+01
3.100000000000000000e+02,1.008500726796916297e+03,5.418892489210653594e+02,3.660935130095940622e+02,5.435497879882392169e+01,3.763888552260719678e+01
3.200000000000000000e+02,1.006729485125264318e+03,5.415571411076306276e+02,3.641008661289854444e+02,5.612622047047602791e+01,3.819239854499847553e+01
