# Ca [nM], mean open time, mean closed time
1.499779782500415024e+02,1.536898263027295375e+00,4.339936955258571061e+01
8.497300692179976522e+02,1.980641690276689237e+00,3.144704991306813691e-01
1.999413479893741169e+03,2.752768822773795421e+00,4.429947569261315915e-02
4.998951742016713979e+03,4.674683286695497486e+00,1.197052360233281411e-02
9.998251797769660698e+03,7.110482332070768408e+00,1.015538304074315758e-02
1.999681793461176494e+04,9.680903818584647880e+00,1.167838419961799573e-02
9.998541149947978556e+04,1.352426855895196667e+01,1.520008159657294453e-02
