# Ca [nM], mean open time, mean closed time
1.499773415130887031e+02,4.290000000000000036e+00,6.247318750000000591e+02
8.498173506558193822e+02,4.219957734573119623e+00,1.520157144354754308e+01
1.999455467004261436e+03,4.302639362912400678e+00,2.151615186962068549e+00
4.998953672931539586e+03,4.241533165774233005e+00,1.548202768185362510e+00
9.998252199850574470e+03,3.080741374182034420e+00,1.025834215200876809e+00
1.999681807103326719e+04,3.076150007796663477e+00,1.100555527900841213e+00
9.998541152421274455e+04,3.036406332057918878e+00,1.045161887494632458e+00
