# Ca [nM], po
1.499779782500415024e+02,4.129137462470796639e-03
8.497300692179976522e+02,4.380919714253048158e-01
1.999413479893741169e+03,8.857684857684856583e-01
4.998951742016713979e+03,9.800639133972466333e-01
9.998251797769660698e+03,9.886898553565219849e-01
1.999681793461176494e+04,9.904219904219904169e-01
9.998541149947978556e+04,9.910593910593910039e-01
