# Ca [nM], po
1.496694485804416956e+02,9.415009415009416294e-02
8.495528913996346319e+02,1.084115750782417564e-01
1.999381774564171110e+03,1.069320402653735902e-01
4.998949142132934867e+03,1.107286440619773965e-01
9.998251480181526858e+03,1.086543753210419960e-01
1.999681791930931286e+04,1.082777082777082872e-01
9.998541151207039366e+04,1.122176455509789061e-01
